Year,GeoType,Borough,GeoID,BCT2020,Pop1,Male P,FemP,PopU5,Pop5t9,Pop10t14,Pop15t19,Pop20t24,Pop25t29,Pop30t34,Pop35t39,Pop40t44,Pop45t49,Pop50t54,Pop55t59,Pop60t64,Pop65t69,Pop70t74,Pop75t79,Pop80t84,Pop85pl,MdAge,PopU18,Pop65pl,GQClgHsg,Fam,HUnits,OcHU_1P,AvgHHSz,ride activity,Shape_Area,station count
2020,CT2020,Brooklyn,36047000100,3000100,4616,46.3,53.7,239,237,193,119,142,436,471,416,340,309,258,261,234,267,258,185,114,137,40.7,744,961,0,"1,046","2,663",91.2,1.9,9983749.0,2224101.04987,3.0
2020,CT2020,Brooklyn,36047000301,3000301,3850,47.4,52.6,193,158,193,164,159,234,366,380,293,267,284,206,189,222,195,162,96,89,41.2,657,764,74,910,"2,466",77.3,1.98,18928741.0,2164337.28426,3.0
2020,CT2020,Brooklyn,36047000501,3000501,4404,45.8,54.2,192,139,120,249,727,377,394,367,258,202,209,183,162,246,186,166,103,124,35.0,513,825,"1,001",775,"2,081",91.0,1.8,23726641.0,901507.030199,2.0
2020,CT2020,Brooklyn,36047000502,3000502,2640,48.0,52.0,147,86,54,39,89,280,401,302,197,156,147,125,122,132,138,119,59,47,38.5,306,495,0,521,"1,621",93.3,1.74,4165681.0,1041529.09064,2.0
2020,CT2020,Brooklyn,36047000700,3000700,4415,48.4,51.6,326,243,199,143,217,427,530,517,397,309,260,203,169,157,116,106,55,41,36.2,853,475,49,988,"2,312",90.8,2.08,37469317.0,1881577.5897,3.0
2020,CT2020,Brooklyn,36047000900,3000900,5167,49.8,50.2,375,228,123,158,384,600,863,646,427,309,235,155,148,179,119,102,63,53,34.1,777,516,306,"1,108","2,667",92.3,1.96,53119258.0,1769269.4719,4.0
2020,CT2020,Brooklyn,36047001100,3001100,1578,52.3,47.7,85,35,19,25,109,348,370,239,130,67,56,18,23,17,15,10,8,4,32.3,156,54,0,329,957,94.0,1.73,64074850.0,1811205.7422,3.0
2020,CT2020,Brooklyn,36047001300,3001300,2465,49.3,50.7,84,66,65,347,256,164,190,194,162,168,130,117,101,125,141,81,39,35,36.6,248,421,398,433,"1,388",85.9,1.72,58116685.0,3167176.04462,4.0
2020,CT2020,Brooklyn,36047001501,3001501,5161,45.3,54.7,275,206,263,237,473,871,773,512,324,271,232,186,185,153,102,43,31,24,31.5,898,353,0,998,"2,417",92.9,2.21,4389025.0,1776387.8144,2.0
2020,CT2020,Brooklyn,36047001502,3001502,5801,50.9,49.1,275,148,115,120,714,"1,142","1,196",731,442,270,218,179,122,50,53,13,6,7,31.5,593,129,0,"1,000","3,316",88.7,1.85,23855481.0,1520130.88513,3.0
2020,CT2020,Brooklyn,36047001802,3001802,6,66.7,33.3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,42.0,3,3,0,0,2,,,759994.0,6395102.66729,3.0
