PopU18,pop19to64,Pop65pl,HUnits,Fam,AvgHHSz,GQClgHsg,Shape_Area,num_stations,ride activity
744.0,2986.0,961.0,2663.0,1046.0,1.9,0.0,2224101.04987,3.0,9983749.0
657.0,2542.0,764.0,2466.0,910.0,1.98,74.0,2164337.28426,3.0,18928741.0
513.0,3128.0,825.0,2081.0,775.0,1.8,1001.0,901507.030199,2.0,23726641.0
306.0,1858.0,495.0,1621.0,521.0,1.74,0.0,1041529.09064,2.0,4165681.0
853.0,3172.0,475.0,2312.0,988.0,2.08,49.0,1881577.5897,3.0,37469317.0
777.0,3925.0,516.0,2667.0,1108.0,1.96,306.0,1769269.4719,4.0,53119258.0
156.0,1385.0,54.0,957.0,329.0,1.73,0.0,1811205.7422,3.0,64074850.0
248.0,1829.0,421.0,1388.0,433.0,1.72,398.0,3167176.04462,4.0,58116685.0
898.0,4064.0,353.0,2417.0,998.0,2.21,0.0,1776387.8144,2.0,4389025.0
593.0,5134.0,129.0,3316.0,1000.0,1.85,0.0,1520130.88513,3.0,23855481.0
3.0,1.0,3.0,2.0,0.0,0.0,0.0,6395102.66729,3.0,759994.0
1241.0,4571.0,259.0,2942.0,1486.0,2.2,0.0,5707270.12542,6.0,173733602.0
889.0,2634.0,581.0,1526.0,1014.0,2.64,0.0,1961474.09876,2.0,6864400.0
697.0,2060.0,521.0,1385.0,773.0,2.35,0.0,1167568.46662,2.0,1401856.0
330.0,2377.0,718.0,1630.0,624.0,1.81,219.0,1622624.71305,2.0,27175369.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467354.68913,4.0,19452251.0
699.0,3908.0,271.0,2730.0,934.0,1.89,0.0,1770404.99252,3.0,29811700.0
310.0,1901.0,233.0,1314.0,498.0,1.92,0.0,1433175.22982,5.0,109828518.0
528.0,3980.0,100.0,2917.0,910.0,1.73,0.0,1788976.49694,4.0,65339113.0
382.0,1989.0,308.0,1451.0,537.0,1.92,0.0,1681273.00436,2.0,4100625.0
500.0,2485.0,487.0,1607.0,699.0,2.16,0.0,1743811.53445,2.0,3786916.0
645.0,2959.0,279.0,1978.0,808.0,2.06,40.0,1774542.76845,2.0,13675204.0
592.0,2552.0,405.0,1806.0,808.0,2.08,0.0,1835597.21002,3.0,16970605.0
482.0,1384.0,146.0,850.0,464.0,2.37,0.0,2928274.58373,4.0,31071001.0
679.0,1812.0,236.0,1199.0,645.0,2.41,0.0,1969090.12915,2.0,5004169.0
443.0,1615.0,180.0,1037.0,507.0,2.28,0.0,6104697.22366,6.0,8982395.0
12.0,74.0,6.0,38.0,15.0,2.17,0.0,8312250.02999,4.0,1340089.0
286.0,1424.0,77.0,741.0,306.0,2.27,0.0,3843225.68258,5.0,4049034.0
479.0,1400.0,175.0,985.0,496.0,2.24,0.0,1081285.37532,2.0,8357881.0
1157.0,3867.0,552.0,2696.0,1361.0,2.23,0.0,2678036.34305,3.0,7699050.0
902.0,2444.0,346.0,1604.0,905.0,2.44,0.0,1680804.25047,3.0,8247290.0
273.0,1233.0,156.0,853.0,379.0,2.08,0.0,801476.27677,2.0,51423241.0
383.0,1457.0,155.0,891.0,458.0,2.29,0.0,1126489.7066,3.0,9875848.0
994.0,2919.0,631.0,1807.0,1079.0,2.52,0.0,1840524.26206,3.0,5795117.0
929.0,3367.0,527.0,2310.0,1142.0,2.21,0.0,3052490.56786,4.0,22536987.0
1137.0,4116.0,542.0,2908.0,1283.0,2.09,0.0,4166505.20618,6.0,24067193.0
1715.0,4212.0,1040.0,2875.0,1794.0,2.4,0.0,2624917.63267,4.0,966526.0
421.0,2100.0,216.0,1308.0,597.0,2.22,0.0,2163265.16317,2.0,1718721.0
237.0,1225.0,165.0,720.0,305.0,2.19,0.0,5040710.77591,6.0,23030394.0
295.0,1494.0,151.0,952.0,431.0,2.31,0.0,1593259.29446,3.0,5895117.0
692.0,2984.0,458.0,1782.0,821.0,2.24,0.0,1759480.86175,2.0,3415104.0
343.0,1835.0,195.0,1156.0,536.0,2.17,0.0,1390943.05244,3.0,35729137.0
498.0,2654.0,221.0,1705.0,660.0,2.02,0.0,1461597.0243,2.0,10419984.0
655.0,3065.0,335.0,1913.0,884.0,2.2,0.0,1684555.97653,3.0,8706058.0
919.0,3191.0,385.0,1996.0,1069.0,2.33,0.0,1596011.12566,3.0,21232180.0
881.0,2688.0,326.0,1615.0,947.0,2.43,0.0,1635300.95979,2.0,11792356.0
622.0,2500.0,372.0,1663.0,820.0,2.17,0.0,1638365.95586,3.0,3618457.0
619.0,2829.0,378.0,1643.0,816.0,2.41,0.0,1631336.71545,3.0,3028321.0
388.0,1136.0,131.0,616.0,330.0,2.39,0.0,816606.780876,2.0,6456681.0
301.0,1139.0,127.0,701.0,378.0,2.24,0.0,807279.670915,2.0,4787344.0
818.0,2563.0,408.0,1684.0,943.0,2.36,0.0,1607114.1849,2.0,2752281.0
575.0,1837.0,289.0,1252.0,657.0,2.33,0.0,1619490.17221,3.0,7522874.0
810.0,2325.0,423.0,1572.0,845.0,2.36,0.0,1610814.62139,2.0,6827769.0
894.0,2976.0,660.0,2199.0,1067.0,2.16,0.0,1802056.2438,3.0,8566249.0
844.0,3578.0,882.0,2752.0,1220.0,2.03,0.0,2699300.41947,4.0,41744177.0
581.0,2578.0,360.0,1637.0,758.0,2.23,0.0,1964156.72047,3.0,20891205.0
739.0,3059.0,353.0,2037.0,953.0,2.14,0.0,1980070.64592,2.0,6916900.0
4.0,9.0,4.0,7.0,6.0,1.86,0.0,27324218.9586,5.0,28055377.0
610.0,2532.0,853.0,1611.0,801.0,2.28,0.0,1705006.94734,2.0,3175524.0
595.0,3230.0,456.0,2374.0,836.0,1.88,0.0,1823380.15384,2.0,7695076.0
527.0,2132.0,196.0,1390.0,581.0,2.22,0.0,1477789.70284,2.0,12006225.0
1128.0,2965.0,552.0,1798.0,1056.0,2.53,0.0,1189362.19719,2.0,5098564.0
227.0,1037.0,96.0,650.0,283.0,2.29,0.0,917703.128426,3.0,23397712.0
674.0,4767.0,932.0,2736.0,945.0,1.85,1624.0,2903179.02506,5.0,43286818.0
595.0,2633.0,432.0,1842.0,813.0,2.1,0.0,1828072.27507,3.0,12730505.0
530.0,3150.0,359.0,2304.0,786.0,1.94,0.0,2037876.58823,3.0,16032977.0
606.0,3033.0,300.0,2084.0,776.0,2.17,0.0,1884866.87403,2.0,2696164.0
376.0,1612.0,174.0,961.0,464.0,2.31,0.0,1512111.18253,3.0,10768941.0
600.0,2622.0,231.0,1700.0,773.0,2.11,0.0,1718969.95323,3.0,6636986.0
808.0,3545.0,635.0,2368.0,1129.0,2.16,0.0,1480427.21558,4.0,14497109.0
444.0,1944.0,184.0,1264.0,536.0,2.18,0.0,2959763.13696,3.0,22090153.0
517.0,2867.0,593.0,1865.0,841.0,2.16,0.0,1978483.70642,3.0,453508.0
694.0,3258.0,515.0,2074.0,926.0,2.23,0.0,1285839.31023,2.0,518400.0
474.0,3364.0,441.0,2095.0,743.0,2.18,0.0,1582742.17788,3.0,9703882.0
423.0,3177.0,363.0,1914.0,643.0,2.18,0.0,1635894.76524,3.0,8795700.0
677.0,3570.0,375.0,2252.0,808.0,2.21,0.0,2588318.213,4.0,6181570.0
577.0,3165.0,256.0,1901.0,710.0,2.27,0.0,1849568.34767,2.0,5175625.0
1450.0,4272.0,469.0,2317.0,1248.0,2.73,0.0,1849442.00528,3.0,7993250.0
693.0,2336.0,207.0,1451.0,606.0,2.41,0.0,1939949.75729,2.0,1965604.0
587.0,3392.0,460.0,2120.0,828.0,2.22,0.0,1661539.49831,2.0,6135529.0
636.0,3360.0,366.0,1999.0,828.0,2.33,0.0,1795931.7412,2.0,10407076.0
649.0,3342.0,384.0,2051.0,769.0,2.25,0.0,1813352.57505,3.0,3148525.0
764.0,3084.0,506.0,1647.0,775.0,2.63,0.0,1490422.89598,2.0,2883204.0
602.0,2680.0,318.0,1631.0,666.0,2.42,0.0,1741979.53604,2.0,1982464.0
1151.0,3287.0,599.0,1721.0,1195.0,2.81,0.0,1492220.44066,3.0,2486248.0
815.0,1917.0,181.0,917.0,509.0,3.24,0.0,1949087.11535,2.0,2064969.0
515.0,1782.0,97.0,822.0,412.0,2.83,0.0,863635.593412,2.0,1567504.0
1034.0,2347.0,373.0,1163.0,852.0,3.12,0.0,642013.985884,2.0,388129.0
1059.0,5171.0,403.0,2826.0,1113.0,2.35,0.0,2146491.99548,2.0,3463321.0
348.0,1613.0,189.0,956.0,432.0,2.3,0.0,1287405.88491,2.0,824464.0
771.0,3398.0,342.0,1849.0,813.0,2.54,0.0,1718284.07002,2.0,3268864.0
420.0,2318.0,325.0,1409.0,617.0,2.31,0.0,1441848.6658,2.0,2250000.0
659.0,2603.0,350.0,1541.0,734.0,2.48,0.0,2660204.62183,2.0,2304324.0
494.0,2347.0,369.0,1396.0,691.0,2.39,0.0,1611451.02047,3.0,1200680.0
583.0,3196.0,395.0,1875.0,784.0,2.36,0.0,1743574.46279,2.0,1962801.0
973.0,3187.0,348.0,1794.0,956.0,2.61,0.0,1745688.01555,3.0,5631805.0
597.0,2741.0,430.0,1734.0,763.0,2.43,0.0,1743088.08863,2.0,1912689.0
890.0,3729.0,330.0,1983.0,961.0,2.55,0.0,1743468.24279,3.0,2158825.0
64.0,533.0,42.0,233.0,96.0,2.43,0.0,895739.649318,2.0,942841.0
526.0,2323.0,338.0,1348.0,611.0,2.52,0.0,1601115.38739,2.0,4541161.0
739.0,2884.0,454.0,1795.0,847.0,2.43,0.0,2211871.3398,2.0,2627641.0
